midi,inicio,fim,duracao,i,j,avg conf,std dev
70.0,1.78,5.91,4.13,178.0,591.0,0.9694049954414368,0.062225493911123836
71.0,8.25,8.6,0.34999999999999964,825.0,860.0,0.9298670887947083,0.12393839456646553
69.0,11.78,18.31,6.529999999999999,1178.0,1831.0,0.9358734488487244,0.17510119555531103
70.0,21.78,22.34,0.5599999999999987,2178.0,2234.0,0.9653578996658325,0.0657337569776351
70.0,29.4,29.67,0.2700000000000031,2940.0,2967.0,0.9486615657806396,0.043645800325768244
66.0,30.1,30.43,0.3299999999999983,3010.0,3043.0,0.9159776568412781,0.21615880535373222
70.0,30.47,31.13,0.6600000000000001,3047.0,3113.0,0.9451537132263184,0.15294683300389914
66.0,31.23,31.57,0.33999999999999986,3123.0,3157.0,0.9297735691070557,0.15362401773694515
66.0,35.08,35.41,0.3299999999999983,3508.0,3541.0,0.9357110261917114,0.09351747802269547
66.0,35.56,35.82,0.259999999999998,3556.0,3582.0,0.9248074293136597,0.07551863697498112
72.0,36.92,37.25,0.3299999999999983,3692.0,3725.0,0.9143825769424438,0.34087578771034094
66.0,37.33,37.61,0.28000000000000114,3733.0,3761.0,0.9350022077560425,0.11531600118332144
70.0,41.88,42.36,0.4799999999999969,4188.0,4236.0,0.934759795665741,0.297461200373535
70.0,42.49,42.89,0.3999999999999986,4249.0,4289.0,0.9528629183769226,0.15901366277118786
66.0,42.93,43.15,0.21999999999999886,4293.0,4315.0,0.9348388910293579,0.33451952156194903
70.0,43.73,44.3,0.5700000000000003,4373.0,4430.0,0.9482977390289307,0.20176067682491547
66.0,44.34,44.56,0.21999999999999886,4434.0,4456.0,0.9249759912490845,0.27634022574454925
66.0,48.3,48.62,0.3200000000000003,4830.0,4862.0,0.9228808879852295,0.08534796814427915
66.0,56.78,57.16,0.37999999999999545,5678.0,5716.0,0.9268892407417297,0.27422211088845744
69.0,64.58,65.03,0.45000000000000284,6458.0,6503.0,0.9398157000541687,0.07924860572619107
46.0,67.72,68.14,0.4200000000000017,6772.0,6814.0,0.9401400685310364,0.13415240798656317
53.0,68.25,68.57,0.3199999999999932,6825.0,6857.0,0.9319142699241638,0.16019142163997918
61.0,68.86,69.07,0.20999999999999375,6886.0,6907.0,0.8849748969078064,0.3222236950739033
58.0,69.4,70.28,0.8799999999999955,6940.0,7028.0,0.9128686785697937,0.2734320991317364
66.0,72.26,72.87,0.6099999999999994,7226.0,7287.0,0.9239011406898499,0.12237442452122396
66.0,74.49,74.79,0.30000000000001137,7449.0,7479.0,0.9424036741256714,0.10366993097766167
70.0,74.82,75.43,0.6100000000000136,7482.0,7543.0,0.9453409910202026,0.22588667078619792
67.0,75.7,76.06,0.35999999999999943,7570.0,7606.0,0.944659948348999,0.3547114922886872
68.0,84.86,88.87,4.010000000000005,8486.0,8887.0,0.9324661493301392,0.22097096021956875
66.0,98.47,103.62,5.150000000000006,9847.0,10362.0,0.95672607421875,0.08084344120915507
65.0,105.68,106.0,0.3199999999999932,10568.0,10600.0,0.9483648538589478,0.29551866911833824
67.0,106.59,106.81,0.21999999999999886,10659.0,10681.0,0.8830079436302185,0.12803106252822086
65.0,112.51,112.74,0.22999999999998977,11251.0,11274.0,0.9484119415283203,0.17483835507181408
69.0,112.89,113.15,0.2600000000000051,11289.0,11315.0,0.9228754043579102,0.4096937368289957
65.0,118.91,119.11,0.20000000000000284,11891.0,11911.0,0.9565690755844116,0.46583263109845463
67.0,119.34,124.82,5.47999999999999,11934.0,12482.0,0.9466392397880554,0.04968373298642103
66.0,129.86,130.09,0.22999999999998977,12986.0,13009.0,0.9448570013046265,0.3957694470329778
66.0,130.21,131.35,1.1399999999999864,13021.0,13135.0,0.9444208145141602,0.24282265026701572
66.0,132.8,138.08,5.280000000000001,13280.0,13808.0,0.9600889086723328,0.17455430501618302
65.0,141.04,146.13,5.090000000000003,14104.0,14613.0,0.9691640734672546,0.041004596947706376
61.0,159.09,159.33,0.2400000000000091,15909.0,15933.0,0.951632022857666,0.34655775724458515
63.0,159.35,160.16,0.8100000000000023,15935.0,16016.0,0.9443179368972778,0.16628541421218426
63.0,164.37,164.58,0.21000000000000796,16437.0,16458.0,0.8991541266441345,0.20555945774696102
63.0,165.49,170.18,4.689999999999998,16549.0,17018.0,0.9636748433113098,0.08047361480906483
62.0,183.36,187.51,4.149999999999977,18336.0,18751.0,0.9569299221038818,0.13276258119071285
62.0,187.54,187.74,0.20000000000001705,18754.0,18774.0,0.8985586166381836,0.09150676900711505
60.0,194.74,200.74,6.0,19474.0,20074.0,0.9516306519508362,0.13983636256751134
53.0,211.98,212.32,0.3400000000000034,21198.0,21232.0,0.8994293808937073,0.4896020746026798
58.0,212.75,218.57,5.819999999999993,21275.0,21857.0,0.9335974454879761,0.1658851358677807
57.0,219.6,225.3,5.700000000000017,21960.0,22530.0,0.9463308453559875,0.14333908017372263
56.0,230.89,236.62,5.730000000000018,23089.0,23662.0,0.944768488407135,0.13327142850761634
55.0,249.43,251.71,2.280000000000001,24943.0,25171.0,0.9217538237571716,0.3732285702531244
51.0,272.93,278.04,5.110000000000014,27293.0,27804.0,0.9551634192466736,0.43959729865577013
50.0,278.74,279.59,0.8499999999999659,27874.0,27959.0,0.9369729161262512,0.4321735292023669
52.0,282.68,287.5,4.819999999999993,28268.0,28750.0,0.9475436806678772,0.24876093213250575
51.0,288.25,293.32,5.069999999999993,28825.0,29332.0,0.9582295417785645,0.21319443909616653
