midi,inicio,fim,duracao,i,j,avg conf,std dev
41.0,11.28,12.24,0.9600000000000009,1128.0,1224.0,0.9420549273490906,0.36617388447284427
65.0,21.55,21.77,0.21999999999999886,2155.0,2177.0,0.9012110233306885,0.12026341021383054
70.0,21.81,27.55,5.740000000000002,2181.0,2755.0,0.971197783946991,0.06135189612358446
67.0,32.11,32.49,0.38000000000000256,3211.0,3249.0,0.9124680757522583,0.18800173578693338
67.0,32.5,32.75,0.25,3250.0,3275.0,0.8905726075172424,0.024872270987075975
67.0,32.83,33.05,0.21999999999999886,3283.0,3305.0,0.9487102031707764,0.26773643369999484
