instruments/trombone,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/trombone/20211004_171716.mp4,24,70.0,21.81,27.55,5.740000000000002,2181.0,2755.0,0.971197783946991,0.06135189612358446,"[[774.0, 341.1666666666667], [868.8333333333334, 370.5]]"
instruments/trombone/20211004_171716.mp4,27,67.0,28.84,28.91,0.07000000000000028,2884.0,2891.0,0.8696898221969604,0.07672981819148536,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171716.mp4,30,53.0,30.72,30.83,0.10999999999999943,3072.0,3083.0,0.8853269219398499,0.11223353458675712,"[[50.333333333333336, 108.75], [66.0, 108.5]]"
instruments/trombone/20211004_171716.mp4,31,64.0,31.76,31.92,0.16000000000000014,3176.0,3192.0,0.9347710609436035,0.14576875629495914,"[[49.166666666666664, 99.0], [65.0, 99.0]]"
instruments/trombone/20211004_171716.mp4,35,67.0,32.11,32.49,0.38000000000000256,3211.0,3249.0,0.9124680757522583,0.18800173578693338,"[[50.5, 98.25], [64.83333333333334, 98.41666666666667]]"
instruments/trombone/20211004_171716.mp4,36,67.0,32.5,32.75,0.25,3250.0,3275.0,0.8905726075172424,0.024872270987075975,"[[49.0, 94.0], [64.0, 93.66666666666667]]"
instruments/trombone/20211004_171716.mp4,39,67.0,33.07,33.16,0.0899999999999963,3307.0,3316.0,0.90804523229599,0.07459202276126263,"[[49.0, 94.33333333333333], [65.0, 94.0]]"
instruments/trombone/20211004_171716.mp4,41,71.0,33.25,33.43,0.17999999999999972,3325.0,3343.0,0.9308525919914246,0.14626624248261724,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171716.mp4,42,67.0,33.72,33.83,0.10999999999999943,3372.0,3383.0,0.9041412472724915,0.09423285373287524,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171716.mp4,43,73.0,33.95,34.05,0.09999999999999432,3395.0,3405.0,0.8608247637748718,0.15589674913897864,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,0,52.0,0.43,0.53,0.10000000000000003,43.0,53.0,0.8793786764144897,0.08021476252151416,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,2,70.0,1.78,5.91,4.13,178.0,591.0,0.9694049954414368,0.062225493911123836,"[[1064.0, 944.9166666666666], [1077.4166666666665, 943.5833333333334]]"
instruments/trombone/20211004_171826.mp4,5,71.0,8.25,8.6,0.34999999999999964,825.0,860.0,0.9298670887947083,0.12393839456646553,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,23,69.0,11.78,18.31,6.529999999999999,1178.0,1831.0,0.9358734488487244,0.17510119555531103,"[[116.58333333333334, 35.666666666666664], [131.91666666666669, 34.91666666666667]]"
instruments/trombone/20211004_171826.mp4,37,70.0,21.78,22.34,0.5599999999999987,2178.0,2234.0,0.9653578996658325,0.0657337569776351,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,38,70.0,22.36,22.52,0.16000000000000014,2236.0,2252.0,0.933255672454834,0.057995264389507535,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,47,48.0,26.31,26.36,0.05000000000000071,2631.0,2636.0,0.8599984049797058,0.24637688744726918,"[[896.4166666666667, 418.75], [999.0, 416.4166666666667]]"
instruments/trombone/20211004_171826.mp4,56,70.0,29.4,29.67,0.2700000000000031,2940.0,2967.0,0.9486615657806396,0.043645800325768244,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,57,70.0,29.88,30.05,0.1700000000000017,2988.0,3005.0,0.9397299289703369,0.034126112196683774,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,59,70.0,30.47,31.13,0.6600000000000001,3047.0,3113.0,0.9451537132263184,0.15294683300389914,"[[816.8333333333334, 429.5], [911.5, 441.1666666666667]]"
instruments/trombone/20211004_171826.mp4,60,66.0,31.23,31.57,0.33999999999999986,3123.0,3157.0,0.9297735691070557,0.15362401773694548,"[[822.1666666666666, 427.3333333333333], [915.3333333333334, 438.3333333333333]]"
instruments/trombone/20211004_171826.mp4,62,45.0,31.87,31.95,0.0799999999999983,3187.0,3195.0,0.8860980272293091,0.09612348940273563,"[[840.0, 415.75], [934.5, 426.0833333333333]]"
instruments/trombone/20211004_171826.mp4,66,66.0,35.08,35.41,0.3299999999999983,3508.0,3541.0,0.9357110261917114,0.09351747802269547,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,67,66.0,35.56,35.82,0.259999999999998,3556.0,3582.0,0.9248074293136597,0.07551863697498112,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,68,66.0,35.88,35.98,0.09999999999999432,3588.0,3598.0,0.9182974696159363,0.019913908834008523,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,69,66.0,35.99,36.08,0.0899999999999963,3599.0,3608.0,0.8762772679328918,0.022441006448530018,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,75,66.0,37.33,37.61,0.28000000000000114,3733.0,3761.0,0.9350022077560425,0.11531600118332144,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,76,66.0,37.63,37.83,0.19999999999999574,3763.0,3783.0,0.8864896893501282,0.10872892844438505,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,89,64.0,38.97,39.02,0.05000000000000426,3897.0,3902.0,0.8775196075439453,0.07633369505845335,"[[754.1666666666667, 398.0], [853.3333333333333, 375.25]]"
instruments/trombone/20211004_171826.mp4,93,71.0,39.36,39.44,0.0799999999999983,3936.0,3944.0,0.920975923538208,0.17792082792027486,"[[758.8333333333334, 378.5], [865.0, 358.1666666666667]]"
instruments/trombone/20211004_171826.mp4,100,57.0,40.42,40.51,0.0899999999999963,4042.0,4051.0,0.9052163362503052,0.1298919916771542,"[[664.8333333333334, 515.0], [712.3333333333334, 524.3333333333334]]"
instruments/trombone/20211004_171826.mp4,107,70.0,42.49,42.89,0.3999999999999986,4249.0,4289.0,0.9528629183769226,0.15901366277118786,"[[821.4166666666666, 410.33333333333337], [918.4166666666666, 441.8333333333333]]"
instruments/trombone/20211004_171826.mp4,112,70.0,43.73,44.3,0.5700000000000003,4373.0,4430.0,0.9482977390289307,0.20176067682491547,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,119,66.0,48.3,48.62,0.3200000000000003,4830.0,4862.0,0.9228808879852295,0.08534796814427915,"[[58.0, 131.66666666666666], [73.83333333333333, 132.16666666666666]]"
instruments/trombone/20211004_171826.mp4,120,66.0,48.65,48.71,0.060000000000002274,4865.0,4871.0,0.8442917466163635,0.11382673111614887,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,121,66.0,48.73,48.79,0.060000000000002274,4873.0,4879.0,0.8533598780632019,0.10668255858268243,"[[817.3333333333334, 333.0], [914.8333333333334, 345.5]]"
instruments/trombone/20211004_171826.mp4,123,59.0,48.96,49.08,0.11999999999999744,4896.0,4908.0,0.8968527317047119,0.19136476872963515,"[[780.0833333333334, 331.75], [874.25, 321.16666666666663]]"
instruments/trombone/20211004_171826.mp4,126,65.0,49.8,49.86,0.060000000000002274,4980.0,4986.0,0.8992310166358948,0.05591736235180577,"[[808.25, 228.41666666666666], [912.5, 212.33333333333331]]"
instruments/trombone/20211004_171826.mp4,133,67.0,52.34,52.45,0.10999999999999943,5234.0,5245.0,0.896723747253418,0.19379377748596177,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,134,71.0,52.62,52.7,0.0800000000000054,5262.0,5270.0,0.8982532024383545,0.15295510732214268,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,137,71.0,54.15,54.22,0.07000000000000028,5415.0,5422.0,0.9088307619094849,0.23855581894281522,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,161,69.0,64.58,65.03,0.45000000000000284,6458.0,6503.0,0.9398157000541687,0.07924860572619107,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,164,69.0,65.34,65.46,0.11999999999999034,6534.0,6546.0,0.9308331608772278,0.0447517714257261,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,171,53.0,68.25,68.57,0.3199999999999932,6825.0,6857.0,0.9319142699241638,0.16019142163997918,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,184,66.0,72.26,72.87,0.6099999999999994,7226.0,7287.0,0.9239011406898499,0.12237442452122396,"[[753.0, 413.3333333333333], [847.8333333333334, 429.6666666666667]]"
instruments/trombone/20211004_171826.mp4,187,66.0,74.49,74.79,0.30000000000001137,7449.0,7479.0,0.9424036741256714,0.10366993097766167,"[[39.5, 75.83333333333333], [55.666666666666664, 73.5]]"
instruments/trombone/20211004_171826.mp4,190,70.0,75.51,75.64,0.12999999999999545,7551.0,7564.0,0.8974947333335876,0.07223271381626918,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,196,70.0,80.37,80.43,0.060000000000002274,8037.0,8043.0,0.8645363450050354,0.2878293736196411,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,199,66.0,84.25,84.44,0.18999999999999773,8425.0,8444.0,0.9414388537406921,0.16375710844464494,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,208,70.0,89.03,89.21,0.1799999999999926,8903.0,8921.0,0.863312840461731,0.19429452681302883,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,209,53.0,90.81,90.88,0.06999999999999318,9081.0,9088.0,0.9308661818504333,0.12762953463055712,"[[824.1666666666666, 461.0], [926.0, 461.6666666666667]]"
instruments/trombone/20211004_171826.mp4,214,63.0,97.61,97.7,0.09000000000000341,9761.0,9770.0,0.8705483078956604,0.0177096749653929,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,215,66.0,98.47,103.62,5.150000000000006,9847.0,10362.0,0.95672607421875,0.0808434412091551,"[[79.0, 272.6666666666667], [95.83333333333333, 272.0]]"
instruments/trombone/20211004_171826.mp4,216,66.0,103.65,103.73,0.0799999999999983,10365.0,10373.0,0.8725458979606628,0.046975397516031164,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,217,66.0,103.75,103.88,0.12999999999999545,10375.0,10388.0,0.8818310499191284,0.09019450325492759,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,221,65.0,106.02,106.11,0.09000000000000341,10602.0,10611.0,0.8932749629020691,0.12995323150354499,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,224,67.0,106.59,106.81,0.21999999999999886,10659.0,10681.0,0.8830079436302185,0.12803106252822086,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,225,65.0,106.9,107.04,0.14000000000000057,10690.0,10704.0,0.9457292556762695,0.06556787628040493,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,227,65.0,107.12,107.19,0.06999999999999318,10712.0,10719.0,0.87193363904953,0.031771140528264366,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,231,65.0,112.51,112.74,0.22999999999998977,11251.0,11274.0,0.9484119415283203,0.17483835507181408,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,232,65.0,112.78,112.85,0.06999999999999318,11278.0,11285.0,0.9073299169540405,0.07843150197814518,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,254,67.0,119.34,124.82,5.47999999999999,11934.0,12482.0,0.9466392397880554,0.049683732986421314,"[[796.3333333333333, 273.75], [851.6666666666667, 286.4166666666667]]"
instruments/trombone/20211004_171826.mp4,256,48.0,125.24,125.29,0.05000000000001137,12524.0,12529.0,0.8985390663146973,0.1592760315067352,"[[914.5, 267.5], [1020.0, 273.6666666666667]]"
instruments/trombone/20211004_171826.mp4,261,64.0,129.32,129.47,0.15000000000000568,12932.0,12947.0,0.9430372714996338,0.2386252283592124,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,273,65.0,141.04,146.13,5.090000000000003,14104.0,14613.0,0.9691640734672546,0.041004596947706376,"[[793.6666666666666, 366.5], [894.8333333333334, 395.3333333333333]]"
instruments/trombone/20211004_171826.mp4,290,63.0,155.91,156.1,0.18999999999999773,15591.0,15610.0,0.9124487638473511,0.05290890187443905,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,291,63.0,156.14,156.27,0.13000000000002387,15614.0,15627.0,0.8611850738525391,0.11403731422985584,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,294,56.0,157.78,157.98,0.19999999999998863,15778.0,15798.0,0.8937476277351379,0.1821991641331852,"[[860.6666666666666, 395.5], [960.4166666666667, 409.83333333333337]]"
