midi,inicio,fim,duracao,i,j,avg conf,std dev
40.0,8.75,14.48,5.73,875.0,1448.0,0.930819571018219,0.11906650137602362
39.0,22.85,23.14,0.28999999999999915,2285.0,2314.0,0.8852829337120056,0.18183717865635488
51.0,48.27,49.66,1.3899999999999935,4827.0,4966.0,0.9328022599220276,0.38428326764932286
54.0,50.48,50.73,0.25,5048.0,5073.0,0.8928200006484985,0.29737193286773345
57.0,54.54,55.97,1.4299999999999997,5454.0,5597.0,0.9453208446502686,0.14556934351070014
65.0,64.28,65.82,1.539999999999992,6428.0,6582.0,0.9300245642662048,0.190107440406177
70.0,65.99,66.46,0.46999999999999886,6599.0,6646.0,0.9518849849700928,0.024871198342623253
70.0,70.2,73.28,3.0799999999999983,7020.0,7328.0,0.9722440838813782,0.10084718747144948
