instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_160251.mp4,36,85.0,38.52,38.62,0.09999999999999432,3852.0,3862.0,0.9021417498588562,0.14417567093569778,"[[1376.8333333333333, 314.1666666666667], [1521.6666666666667, 296.0]]"
instruments/recorder/20220416_160251.mp4,39,85.0,38.8,39.0,0.20000000000000284,3880.0,3900.0,0.9067267179489136,0.07741432456074472,"[[1382.3333333333333, 317.1666666666667], [1520.8333333333333, 295.6666666666667]]"
instruments/recorder/20220416_160251.mp4,42,85.0,39.11,39.26,0.14999999999999858,3911.0,3926.0,0.887231707572937,0.13700857385739607,"[[1383.8333333333333, 324.3333333333333], [1522.0, 296.1666666666667]]"
instruments/recorder/20220416_160251.mp4,43,85.0,39.27,40.46,1.1899999999999977,3927.0,4046.0,0.901701807975769,0.12229221406292144,"[[1376.3333333333333, 320.1666666666667], [1512.0, 296.1666666666667]]"
instruments/recorder/20220416_160251.mp4,46,86.0,40.61,42.33,1.7199999999999989,4061.0,4233.0,0.9535859823226929,0.07149287015132097,"[[1403.4166666666665, 316.5], [1546.5833333333333, 289.8333333333333]]"
instruments/recorder/20220416_160251.mp4,49,87.0,42.74,44.69,1.9499999999999957,4274.0,4469.0,0.9564191102981567,0.016274711722447637,"[[1398.5, 325.8333333333333], [1545.8333333333333, 308.1666666666667]]"
instruments/recorder/20220416_160251.mp4,51,88.0,44.8,46.79,1.990000000000002,4480.0,4679.0,0.9424729943275452,0.12729240260797473,"[[1388.3333333333333, 331.8333333333333], [1527.5, 310.6666666666667]]"
instruments/recorder/20220416_160251.mp4,53,89.0,46.87,48.43,1.5600000000000023,4687.0,4843.0,0.8938422799110413,0.21772652668282388,"[[1410.0, 325.75], [1551.8333333333335, 306.58333333333337]]"
instruments/recorder/20220416_160251.mp4,54,89.0,48.44,48.52,0.0800000000000054,4844.0,4852.0,0.9090744256973267,0.1307591451628103,"[[1377.8333333333333, 313.3333333333333], [1527.0, 293.6666666666667]]"
instruments/recorder/20220416_160251.mp4,55,89.0,49.61,51.62,2.009999999999998,4961.0,5162.0,0.9049919247627258,0.19611066342069203,"[[1403.6666666666667, 328.3333333333333], [1542.3333333333333, 300.1666666666667]]"
instruments/recorder/20220416_160251.mp4,58,90.0,51.81,52.0,0.18999999999999773,5181.0,5200.0,0.8938311338424683,0.11071230392799253,"[[1399.6666666666665, 328.5], [1536.8333333333335, 304.25]]"
instruments/recorder/20220416_160251.mp4,59,90.0,52.04,52.36,0.3200000000000003,5204.0,5236.0,0.8289430141448975,0.16378837991720085,"[[1398.75, 329.8333333333333], [1536.5, 304.8333333333333]]"
instruments/recorder/20220416_160251.mp4,60,90.0,52.5,52.58,0.0799999999999983,5250.0,5258.0,0.8233908414840698,0.19172270696599014,"[[1404.0, 328.6666666666667], [1538.0, 303.6666666666667]]"
instruments/recorder/20220416_160251.mp4,61,90.0,52.72,52.82,0.10000000000000142,5272.0,5282.0,0.8261443376541138,0.17906467365229162,"[[1400.75, 330.91666666666663], [1536.5833333333335, 305.91666666666663]]"
instruments/recorder/20220416_160251.mp4,63,90.0,53.74,53.82,0.0799999999999983,5374.0,5382.0,0.8904273509979248,0.20118674691707383,"[[1386.8333333333333, 335.1666666666667], [1520.6666666666667, 308.8333333333333]]"
instruments/recorder/20220416_160251.mp4,64,91.0,53.84,55.58,1.7399999999999949,5384.0,5558.0,0.8538734316825867,0.14912022637863456,"[[1387.1666666666667, 335.6666666666667], [1520.3333333333333, 309.0]]"
instruments/recorder/20220416_160251.mp4,67,93.0,55.97,56.43,0.46000000000000085,5597.0,5643.0,0.8752447366714478,0.11586771195199519,"[[1386.25, 339.58333333333337], [1520.6666666666665, 310.75]]"
instruments/recorder/20220416_160251.mp4,69,91.0,56.8,58.72,1.9200000000000017,5680.0,5872.0,0.8580660223960876,0.14290776876650402,"[[1393.5833333333335, 387.66666666666663], [1530.3333333333335, 353.25]]"
instruments/recorder/20220416_160251.mp4,76,88.0,60.56,60.85,0.28999999999999915,6056.0,6085.0,0.9288246631622314,0.13343719946182692,"[[1405.0, 394.5], [1546.5, 362.6666666666667]]"
instruments/recorder/20220416_160251.mp4,77,88.0,60.9,60.97,0.07000000000000028,6090.0,6097.0,0.8666373491287231,0.18642284585280106,"[[1394.1666666666667, 386.0], [1548.1666666666667, 361.8333333333333]]"
